,index,Country Name,Country Code,2015,2016,2017,2018,2019,Average
138,167,St. Lucia,LCA,1807222222.0,1865444444.0,1996703704.0,2057074074.0,2094185185.0,1964125926
139,168,St. Vincent and the Grenadines,VCT,786554580.8,814302267.1,844039068.8,884328180.5,910765709.8,847997961.4
140,169,Sudan,SDN,84984672416.0,103000000000.0,130000000000.0,32333780383.0,32338079165.0,76463906393
141,171,Sweden,SWE,505000000000.0,516000000000.0,541000000000.0,555000000000.0,534000000000.0,5.30E+11
142,172,Switzerland,CHE,694000000000.0,688000000000.0,695000000000.0,726000000000.0,721000000000.0,7.05E+11
143,175,Tanzania,TZA,47378603784.0,49774004999.0,53275968095.0,57003686049.0,61026765850.0,53691805755
144,176,Thailand,THA,401000000000.0,413000000000.0,456000000000.0,507000000000.0,544000000000.0,4.64E+11
145,177,Timor-Leste,TLS,1594447600.0,1650619400.0,1595724300.0,1563887900.0,2028551600.0,1686646160
146,178,Togo,TGO,5681469374.0,6031632015.0,6395472028.0,7029217932.0,6992656429.0,6426089556
147,179,Tonga,TON,437003006.7,420548768.1,460374252.2,488906860.9,512053639.8,463777305.5
148,180,Trinidad and Tobago,TTO,26851970249.0,23496215881.0,23797686962.0,24322359037.0,23849557811.0,24463557988
149,181,Tunisia,TUN,45779494042.0,44360065797.0,42163530591.0,42686509836.0,41905637659.0,43379047585
150,182,Turkiye,TUR,864000000000.0,870000000000.0,859000000000.0,778000000000.0,760000000000.0,8.26E+11
151,185,Uganda,UGA,32387183733.0,29203988697.0,30744473840.0,32927025621.0,35348155092.0,32122165397
152,186,Ukraine,UKR,91030968761.0,93355868978.0,112000000000.0,131000000000.0,154000000000.0,1.16E+11
153,187,United Arab Emirates,ARE,370000000000.0,369000000000.0,391000000000.0,427000000000.0,418000000000.0,3.95E+11
154,188,United Kingdom,GBR,2930000000000.0,2700000000000.0,2680000000000.0,2880000000000.0,2860000000000.0,2.81E+12
155,189,United States,USA,18200000000000.0,18700000000000.0,19500000000000.0,20500000000000.0,21400000000000.0,1.97E+13
156,190,Uruguay,URY,57680328702.0,57480788380.0,65006047680.0,65203071111.0,62048585619.0,61483764298
157,191,Uzbekistan,UZB,86196264742.0,86138288633.0,62081322741.0,52870108218.0,60283503705.0,69513897608
158,192,Vanuatu,VUT,730870805.2,780889605.9,880061831.0,914736985.4,936526267.6,848617099
159,194,Vietnam,VNM,239000000000.0,257000000000.0,281000000000.0,310000000000.0,334000000000.0,2.84E+11
160,196,West Bank and Gaza,PSE,13972400000.0,15405400000.0,16128000000.0,16276600000.0,17133500000.0,15783180000
161,198,Zambia,ZMB,21251216799.0,20958412538.0,25873601261.0,26311506435.0,23308667781.0,23540680963
162,199,Zimbabwe,ZWE,19963120600.0,20548678100.0,17584890937.0,34156069918.0,21832234926.0,22816998896
